iter	Passed	Remaining
801	312430	77133
802	312798	76738
803	313175	76346
804	313539	75950
805	313933	75562
806	314345	75178
807	314709	74782
808	315104	74394
809	315611	74032
810	316038	73651
811	316443	73265
812	316831	72875
813	317214	72483
814	317585	72089
815	318006	71707
816	318415	71321
817	318792	70929
818	319150	70532
819	319583	70152
820	320023	69773
821	320464	69395
822	320843	69002
823	321204	68606
824	321590	68216
825	321996	67829
826	322381	67439
827	322786	67052
828	323158	66658
829	323558	66270
830	323966	65884
831	324359	65495
832	324789	65113
833	325164	64720
834	325551	64330
835	325943	63941
836	326356	63555
837	326713	63159
838	327097	62768
839	327484	62377
840	327863	61986
841	328296	61604
842	328700	61216
843	329095	60828
844	329514	60443
845	329913	60055
846	330288	59662
847	330679	59272
848	331090	58886
849	331477	58496
850	331891	58110
851	332311	57725
852	332693	57334
853	333078	56943
854	333499	56558
855	333868	56164
856	334264	55775
857	334629	55381
858	335014	54990
859	335429	54604
860	335829	54216
861	336195	53822
862	336580	53431
863	336994	53045
864	337380	52654
865	337799	52269
866	338186	51878
867	338522	51480
868	338929	51092
869	339313	50702
870	339676	50307
871	340093	49921
872	340490	49532
873	341229	49193
874	341930	48847
875	342715	48512
876	343424	48165
877	343792	47770
878	344520	47425
879	345436	47104
880	346334	46780
881	346768	46393
882	347203	46005
883	347556	45606
884	347926	45210
885	348319	44817
886	348805	44436
887	349449	44074
888	350295	43737
889	350938	43374
890	351463	42996
891	351889	42605
892	352359	42220
893	353247	41883
894	353975	41527
895	354573	41155
896	354978	40761
897	355761	40409
898	356277	40026
899	356902	39655
900	357548	39286
901	358063	38902
902	358903	38553
903	359586	38186
904	360461	37838
905	361057	37460
906	361786	37096
907	362361	36715
908	362827	36322
909	363278	35928
910	363665	35528
911	364096	35132
912	364504	34733
913	364922	34336
914	365333	33938
915	365711	33536
916	366075	33134
917	366476	32735
918	366835	32332
919	367249	31934
920	367640	31534
921	368016	31133
922	368424	30735
923	368833	30336
924	369184	29933
925	369563	29533
926	369970	29134
927	370353	28734
928	370751	28335
929	371111	27933
930	371486	27532
931	371891	27133
932	372272	26733
933	372659	26333
934	373054	25934
935	373441	25534
936	373854	25136
937	374235	24736
938	374593	24334
939	375000	23936
940	375451	23540
941	375893	23144
942	376310	22746
943	376687	22345
944	377037	21943
945	377454	21546
946	377847	21146
947	378240	20747
948	378610	20346
949	379027	19948
950	379405	19548
951	379825	19150
952	380195	18750
953	380584	18351
954	381012	17953
955	381402	17554
956	381791	17154
957	382177	16755
958	382539	16354
959	382931	15955
960	383307	15555
961	383660	15154
962	384067	14756
963	384497	14358
964	384853	13958
965	385301	13561
966	385659	13161
967	386040	12761
968	386447	12363
969	386845	11964
970	387184	11563
971	387552	11164
972	387929	10764
973	388335	10366
974	388755	9968
975	389117	9568
976	389502	9169
977	389912	8771
978	390285	8371
979	390642	7972
980	391053	7573
981	391475	7175
982	391882	6777
983	392269	6378
984	392612	5978
985	393001	5580
986	393415	5181
987	393781	4782
988	394167	4384
989	394555	3985
990	394953	3586
991	395343	3188
992	395689	2789
993	396053	2390
994	396438	1992
995	396802	1593
996	397165	1195
997	397510	796
998	397852	398
999	398217	0
